company_name,portfolio_status,subsector,service_scope,primary_commodity,contract_profile,customer_profile,geography,operating_model,revenue_driver,capex_intensity,customer_concentration,business_differentiator,key_risks,verification_status,source_note
PT Bukit Makmur Mandiri Utama,Department Portfolio,Mining Contractor,Full mining services; overburden; coal getting; hauling,Coal,Long-term contracts,Large coal producers,Indonesia; Australia,Owner-operated fleet,Production volume; overburden volume,High,Medium,Geographic diversification and large-scale operations,"Contract renewal; fleet utilization; commodity cycle",Pending CRM Validation,Public company profile and portfolio knowledge
PT Putra Perkasa Abadi,Department Portfolio,Mining Contractor,Full mining services; overburden; hauling,Coal,Long-term contracts,Coal mine owners,Indonesia,Owner-operated fleet,Production volume; overburden volume,High,Undetermined,Large mining-services operating footprint,"Customer concentration; capex; site ramp-up",Pending CRM Validation,Public company profile and portfolio knowledge
PT Hillconjaya Sakti,Department Portfolio,Mining Contractor,Mining services; earthworks; infrastructure,Coal; Nickel,Project-based and long-term,Mining companies,Indonesia,Owner-operated fleet,Project value; production volume,High,Undetermined,Exposure to coal and mineral projects,"Project execution; fleet utilization; commodity cycle",Pending CRM Validation,Public company profile and portfolio knowledge
PT Antareja Mahada Makmur,Department Portfolio,Mining Contractor,Overburden; mining services; hauling,Coal,Long-term contracts,Coal mine owners,Indonesia,Owner-operated fleet,Overburden volume; production volume,High,Undetermined,Mining-services specialization,"Customer concentration; equipment availability; contract renewal",Pending CRM Validation,Portfolio knowledge - confirm with latest NAK
PT Hasnur Riung Sinergi,Department Portfolio,Mining Contractor,Mining services; overburden; hauling,Coal,Long-term contracts,Related party and external customers,Indonesia,Owner-operated fleet,Overburden volume; coal volume,High,High,Integration with a business group,"Group concentration; fleet utilization; commodity cycle",Pending CRM Validation,Portfolio knowledge - confirm with latest NAK
PT Riung Mitra Lestari,Department Portfolio,Mining Contractor,Overburden; coal getting; hauling,Coal,Long-term contracts,Coal mine owners,Indonesia,Owner-operated fleet,Overburden volume; coal volume,High,Undetermined,Established coal contract-mining operations,"Customer concentration; contract renewal; capex",Pending CRM Validation,Public profile - confirm with latest NAK
PT Madhani Talatah Nusantara,External/Related Peer,Mining Contractor,Mining services; earthworks; infrastructure,Coal; Mineral,Project-based and long-term,Mining companies,Indonesia,Owner-operated fleet,Project value; production volume,High,Undetermined,Diversified mining and civil services,"Project execution; fleet utilization; customer concentration",Pending CRM Validation,Public company profile
PT Pamapersada Nusantara,External Peer,Mining Contractor,Full mining services; mine planning; overburden; hauling,Coal; Mineral,Long-term contracts,Large mining companies,Indonesia,Owner-operated fleet,Production volume; overburden volume,High,Medium,Large-scale integrated mining services,"Commodity cycle; fleet utilization; contract renewal",Pending CRM Validation,Public company profile
PT Saptaindra Sejati,External Peer,Mining Contractor,Integrated mining services; overburden; coal getting; hauling,Coal,Long-term contracts,Related party and external customers,Indonesia,Owner-operated fleet,Production volume; overburden volume,High,High,Integrated services within an energy group,"Group concentration; commodity cycle; fleet utilization",Pending CRM Validation,Public company profile
PT Cipta Kridatama,External Peer,Mining Contractor,Mining services; overburden; infrastructure,Coal; Mineral,Long-term and project-based,Mining companies,Indonesia,Owner-operated fleet,Project value; production volume,High,Undetermined,Mining services within a diversified group,"Contract renewal; project execution; fleet utilization",Pending CRM Validation,Public company profile
PT Darma Henwa Tbk,External Peer,Mining Contractor,Integrated mining services; earthworks; mineral processing,Coal; Mineral,Long-term and project-based,Mining companies,Indonesia,Owner-operated and subcontracted,Project value; production volume,High,Medium,Publicly available standalone financial information,"Leverage; project execution; customer concentration",Pending CRM Validation,Public annual report and company profile
PT Petrosea Tbk,External Peer,Diversified Mining Services,Contract mining; EPC; logistics,Coal; Mineral; Oil and Gas,Project-based and long-term,Mining and energy companies,Indonesia,Owner-operated and subcontracted,Project value; production volume,High,Medium,Diversified contract mining and EPC services,"Project execution; capex; customer concentration",Pending CRM Validation,Public annual report and company profile

