nama_perusahaan,parameter,nilai,judul_sumber,url_sumber,tanggal_sumber,tanggal_akses,status,catatan_crm
PT Bukit Makmur Mandiri Utama,Subsektor,Jasa pertambangan batubara,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,
PT Bukit Makmur Mandiri Utama,Peran usaha,Kontraktor pertambangan,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,
PT Bukit Makmur Mandiri Utama,Lingkup jasa,Perencanaan tambang; Pengupasan lapisan tanah penutup; Ekstraksi batubara; Transportasi; Rehabilitasi,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,
PT Bukit Makmur Mandiri Utama,Komoditas,Batubara,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,
PT Bukit Makmur Mandiri Utama,Cakupan rantai nilai,Terintegrasi dari perencanaan hingga rehabilitasi,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,
PT Bukit Makmur Mandiri Utama,Profil kontrak,Kontrak jasa pertambangan 9 tahun pada proyek PKP,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,Spesifik proyek PKP
PT Bukit Makmur Mandiri Utama,Pelanggan/proyek,PT Persada Kapuas Prima; Proyek PKP,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,Spesifik proyek PKP
PT Bukit Makmur Mandiri Utama,Wilayah operasi/proyek,Kalimantan Tengah,BUMA starts production at PKP coal mine,https://bumainternational.com/post/912/contractor-buma-starts-production-at-pkp-coal-mine-in-indonesia,2025-06-30,2026-09-03,Sumber Resmi,Spesifik proyek PKP
PT Pamapersada Nusantara,Subsektor,Jasa pertambangan batubara,Tentang Kami - Pamapersada,https://www.pamapersada.com/en/about-us,,2026-09-03,Sumber Resmi,
PT Pamapersada Nusantara,Peran usaha,Kontraktor pertambangan,Tentang Kami - Pamapersada,https://www.pamapersada.com/en/about-us,,2026-09-03,Sumber Resmi,
